,Cluster_label,Venue_name,Venue_lat,Venue_lng,Distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Waterfall
28,1,Pier 14,37.79374887658869,-122.3910886143392,1812,0,0,0,0,0,0,1,0
43,1,Rincon Park,37.79114136918512,-122.39018134976637,1815,0,0,0,0,0,0,1,0
141,1,The Creamery,37.77737244366497,-122.39514999003865,1817,1,0,0,0,0,0,0,0
153,1,Sweetie's Art Bar,37.80468840577923,-122.41296128912155,1837,1,0,0,0,0,0,0,0
34,1,Cupid's Span,37.79154065815569,-122.39001274108887,1838,0,0,0,0,0,0,1,0
52,1,Cilantro SF,37.804666844326974,-122.41344076882868,1840,0,0,0,0,0,1,0,0
41,1,Taqueria Cazadores,37.772714728553126,-122.41879585209975,1882,0,0,0,0,0,1,0,0
20,1,Spice of America,37.773279925031815,-122.42136508226395,1925,0,0,1,0,0,0,0,0
31,1,Pier 7,37.80006187146774,-122.39442793827594,1926,0,0,0,0,0,0,1,0
142,1,Naan N Curry,37.77846864203803,-122.39227035900507,1941,0,0,1,0,0,0,0,0
100,1,Top of the Larkin Street Stairs,37.80350744703899,-122.42164649034832,1956,0,0,0,0,0,0,1,0
157,1,Zaika Indian Cuisine,37.778483,-122.392036,1957,0,0,1,0,0,0,0,0
153,1,Publico Urban Taqueria,37.77088226440287,-122.40740639588299,1957,0,0,0,0,0,1,0,0
12,1,Capannina,37.79788782430998,-122.42917971149578,1959,0,0,0,1,0,0,0,0
76,1,Pier 24,37.78939347293482,-122.38823955602722,1962,0,0,0,0,0,0,1,0
152,1,South Beach Marina Pool,37.78195322437456,-122.3895306315394,1975,1,0,0,0,0,0,0,0
166,1,South Beach Marina Apartments,37.78239522452592,-122.3892519486836,1981,1,0,0,0,0,0,0,0
1,1,Dosa,37.785312982088094,-122.43285890464635,1994,0,0,1,0,0,0,0,0
16,1,Royal Indian Cuisine,37.78582179936749,-122.43313389181502,2010,0,0,1,0,0,0,0,0
76,1,Death By Taco,37.77582038886468,-122.39358418270868,2035,0,0,0,0,0,1,0,0
13,1,SPQR,37.78728690606852,-122.43360621510921,2035,0,0,0,1,0,0,0,0
111,1,Florio,37.78749587366603,-122.43362202570236,2036,0,0,0,1,0,0,0,0
61,1,Brannan Street Wharf,37.78439626788962,-122.38780250919531,2043,0,0,0,0,0,0,1,0
9,1,Sheba Piano Lounge,37.783106603329,-122.43282296527993,2047,0,1,0,0,0,0,0,0
147,1,South Beach Cafe,37.781628,-122.38861,2064,0,0,0,1,0,0,0,0
